Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Lockup Torque Converter,Carline Class Desc,Oil Viscosity,Calc Approach Desc,Label Recalc?
2.5,4,29.3645,6,15.0,2,2,Y,Special Purpose Vehicle 2WD,5W20 API SN Plus,Derived 5-cycle label,N
3.0,6,24.2182,8,10.0,2,2,Y,not provided,SAE 5W/40 API SL/CF,   ,N
2.0,4,36.9526,6,15.0,2,2,Y,not provided,5W20 API or ILSAC,Derived 5-cycle label,N
3.5,6,28.1939,6,10.0,2,2,Y,not provided,0W-20,Derived 5-cycle label,N
2.0,4,36.1101,7,85.0,2,2,Y,Compact Cars,5W30 / 225.10,   ,N
,4,30.9374,8,15.0,2,2,Y,Small SUV 4WD,5W20,Derived 5-cycle label,N
,8,19.2787,8,10.0,1,1,Y,Standard SUV 4WD,0W-40,Derived 5-cycle label,N
2.0,4,27.6312,7,10.0,2,2,Y,Special Purpose Vehicle 2WD,0W30 DC 225.26,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.3,4,30.8544,10,15.0,2,2,Y,not provided,5W-30 / API SN Plus,Derived 5-cycle label,N
3.0,6,28.5586,6,10.0,2,2,N,Compact Cars,0W20,Derived 5-cycle label,N
5.3,8,22.4618,6,10.0,1,1,Y,Special Purpose Vehicle cab chassis,0W20,Derived 5-cycle label,N
3.0,6,21.5773,8,10.0,2,2,Y,Standard SUV 4WD,SAE 5W/40 API SL/CF,Derived 5-cycle label,N
,6,27.171999999999997,8,10.0,2,2,Y,Standard SUV 4WD,SAE 5W20,Derived 5-cycle label,N
2.0,4,36.1919,6,10.0,2,2,Y,Minicompact Cars,##-##,Derived 5-cycle label,N
4.0,6,22.6058,6,10.0,2,2,N,not provided,SAE 5W-30,Derived 5-cycle label,
,4,37.063,7,15.0,2,2,N,Small SUV 4WD,SAE 5W30,Vehicle Specific 5-cycle label,N
1.4,4,36.4506,6,10.0,2,2,Y,Minicompact Cars,##-##,Derived 5-cycle label,N
2.0,4,34.1297,8,10.0,2,2,Y,not provided,5W-30,   ,N
,4,29.8002,6,10.0,2,2,Y,Small SUV 4WD,GF-5 5W-30,Derived 5-cycle label,N
2.0,4,31.7071,7,10.0,2,2,Y,Subcompact Cars,SAE 0W-30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,
1.5,4,38.0438,6,10.0,2,2,Y,Small SUV 2WD,0W20,Derived 5-cycle label,N
3.0,6,25.9443,8,15.0,2,2,Y,not provided,5W20 GF4,Derived 5-cycle label,N
,4,36.6423,6,10.0,2,2,Y,Small SUV 4WD,0W20,Derived 5-cycle label,N
,6,28.9964,9,10.0,2,2,Y,Small SUV 4WD,0W-20,Derived 5-cycle label,N
2.7,4,27.6861,6,15.0,2,2,Y,not provided,0W-20,Derived 5-cycle label,N
,6,24.2711,10,15.0,2,2,Y,Standard SUV 2WD,SAE 5W-30 / API SN Plus,Derived 5-cycle label,N
3.3,6,30.1599,8,15.0,2,2,Y,not provided,5W30 ACEA A5,Derived 5-cycle label,N
2.0,4,35.6657,7,15.0,2,2,Y,Compact Cars,0W-20 VW50800,   ,N
1.8,4,38.2738,7,10.0,2,2,Y,not provided,0W-20,Derived 5-cycle label,N
2.0,4,35.8315,9,10.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
2.0,4,34.1632,6,10.0,2,2,N,not provided,0W-20,Derived 5-cycle label,N
4.4,8,26.8512,8,10.0,2,2,Y,not provided,5W30,   ,N
2.0,4,32.8726,8,10.0,2,2,Y,Midsize Cars,0W20,   ,N
5.6,8,22.763,7,10.0,2,2,Y,Standard Pick-up Trucks 2WD,SAE 0W-20,Derived 5-cycle label,
2.0,4,44.6885,10,15.0,2,2,Y,not provided,0W-16,   ,N
2.9,6,24.519000000000002,8,10.0,2,2,Y,Small SUV 4WD,0W-40,Derived 5-cycle label,N
3.0,6,30.4619,8,15.0,2,2,Y,Compact Cars,5W20 GF4,   ,N
,8,24.3171,8,10.0,2,2,Y,Standard SUV 4WD,5W30,Derived 5-cycle label,N
1.6,4,39.7862,7,15.0,2,2,N,Small SUV 2WD,SAE 5W30,Vehicle Specific 5-cycle label,N
1.5,4,43.2552,6,10.0,2,2,N,Compact Cars,0W-20,   ,N
,6,26.4054,8,10.0,2,2,Y,Standard SUV 4WD,5W30,Derived 5-cycle label,N
3.5,6,30.1837,7,15.0,2,2,Y,not provided,SAE 0W-20,Derived 5-cycle label,
3.5,6,29.0284,8,15.0,2,2,Y,Standard SUV 4WD,0W-20,Derived 5-cycle label,N
,4,34.6163,9,10.0,2,2,Y,Small SUV 4WD,0W20,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
,4,33.0335,9,10.0,2,2,Y,Small SUV 4WD,0w-20,Derived 5-cycle label,N
2.0,4,42.6591,7,15.0,2,2,Y,not provided,GF-5 0W-20,Derived 5-cycle label,N
1.8,4,42.1932,7,15.0,2,2,Y,not provided,0W-20,   ,N
1.8,4,80.8472,1,15.0,2,2,N,not provided,0W-16,   ,N
6.2,8,23.6833,10,10.0,1,1,Y,Standard Pick-up Trucks 4WD,0W20,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.0,4,39.3148,6,10.0,2,2,N,Two Seaters,##-##,Derived 5-cycle label,N
2.5,4,31.9863,6,85.0,2,2,Y,Small SUV 2WD,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
,4,30.4487,6,15.0,2,2,Y,Small SUV 4WD,5W30 API SN Plus,Derived 5-cycle label,N
2.0,4,35.8387,8,10.0,2,2,Y,Midsize Cars,0W20,   ,N
2.9,6,25.6124,8,10.0,2,2,Y,Midsize Cars,0W-40,   ,N
2.0,4,31.5917,6,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
3.6,6,26.7721,8,10.0,2,2,Y,Compact Cars,5W30,Derived 5-cycle label,N
3.6,6,23.6986,6,10.0,2,2,Y,not provided,5W30,Derived 5-cycle label,N
2.0,4,36.1101,7,10.0,2,2,Y,Compact Cars,5W30 / 225.10,   ,N
3.5,6,24.1497,10,15.0,2,2,Y,Standard Pick-up Trucks 4WD,SAE 5W-30 API SN Plus,Derived 5-cycle label,N
3.5,6,25.8921,6,15.0,2,2,Y,not provided,0W-20,Derived 5-cycle label,N
2.9,6,27.6885,8,10.0,2,2,N,not provided,0W40,Derived 5-cycle label,N
3.0,6,28.4075,9,10.0,2,2,Y,not provided,5W/40,Derived 5-cycle label,
5.0,8,22.5528,8,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
2.0,4,32.326,8,10.0,2,2,Y,not provided,5W30,Derived 5-cycle label,N
4.0,8,25.6671,8,10.0,2,2,N,not provided,0W40,Derived 5-cycle label,N
2.0,4,33.7023,9,10.0,2,2,Y,Small SUV 2WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
5.5,8,19.7252,7,10.0,2,2,Y,Standard SUV 4WD,5W-30 and 0W-40,Derived 5-cycle label,N
2.0,4,35.8292,6,15.0,2,2,N,Compact Cars,0W-20 VW50800,   ,N
5.7,8,24.3852,8,10.0,1,1,Y,Standard Pick-up Trucks 4WD,SAE 5W-20,Derived 5-cycle label,N
,8,22.0463,10,10.0,1,1,Y,Standard SUV 2WD,0W20,Derived 5-cycle label,N
2.0,4,35.8387,8,10.0,2,2,Y,not provided,0W20,   ,N
2.0,4,39.6338,6,10.0,2,2,Y,Compact Cars,GF-5 0W-20,   ,N
2.0,4,32.4423,8,15.0,2,2,Y,Subcompact Cars,0W-20,Derived 5-cycle label,N
3.5,6,30.5533,10,10.0,2,2,Y,Midsize Cars,0W-20,   ,N
3.0,6,31.7964,8,10.0,2,2,Y,Midsize Cars,0W20,   ,N
2.0,4,32.6142,7,15.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
3.0,6,29.903000000000002,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
2.8,4,30.8275,6,,2,2,Y,not provided,5W30,Derived 5-cycle label,N
3.3,6,24.2702,8,15.0,2,2,Y,Compact Cars,5W30 ACEA A5,   ,Y
2.0,4,34.6007,10,10.0,2,2,Y,Midsize Cars,0W-20,   ,N
2.4,4,31.4586,9,10.0,2,2,Y,Special Purpose Vehicle 2WD,5W-20,Derived 5-cycle label,N
1.5,4,43.0824,6,10.0,2,2,N,not provided,0W-20,Derived 5-cycle label,N
2.0,4,35.9038,7,15.0,2,2,Y,Compact Cars,5W40 VW 50200,Vehicle Specific 5-cycle label,N
2.5,4,40.1315,1,15.0,2,2,Y,not provided,SAE 0W-20,   ,
5.7,8,19.0485,6,15.0,2,2,Y,Standard Pick-up Trucks 2WD,0W-20,Derived 5-cycle label,N
1.4,4,38.5755,6,10.0,2,2,Y,Small SUV 2WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.0,4,32.9231,6,15.0,2,2,Y,Midsize Cars,5W-30 API SN Plus,   ,N
1.5,4,45.4645,7,10.0,2,2,Y,not provided,0W-20,Vehicle Specific 5-cycle label,N
2.0,4,34.6553,8,15.0,2,2,Y,not provided,SAE 5W30,Derived 5-cycle label,N
3.0,6,29.9599,8,,2,2,Y,Standard SUV 4WD,5W20 GF4,Derived 5-cycle label,N
2.3,4,32.7122,6,15.0,2,2,N,Subcompact Cars,##-##,Derived 5-cycle label,N
2.4,4,32.6693,8,15.0,2,2,Y,Small SUV 2WD,5W20,Derived 5-cycle label,N
4.0,8,25.5997,9,10.0,2,2,Y,Subcompact Cars,5W40,Derived 5-cycle label,N
,4,45.0797,7,10.0,2,2,Y,Small SUV 4WD,SAE 0W-20,Derived 5-cycle label,
2.0,4,35.5991,8,10.0,2,2,Y,not provided,0W20,   ,N
3.0,6,29.3892,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
4.0,8,22.511999999999997,7,10.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,Y
2.9,6,28.4304,8,10.0,2,2,N,not provided,0W40,Derived 5-cycle label,N
4.0,6,21.0364,7,10.0,2,2,N,Two Seaters,##-##,Derived 5-cycle label,N
,6,28.6325,8,10.0,2,2,Y,Standard SUV 4WD,0W-20,Derived 5-cycle label,N
3.5,6,23.7957,6,15.0,2,2,N,not provided,0W-20,Derived 5-cycle label,N
,4,36.2277,1,10.0,2,2,Y,Small SUV 4WD,0W-20,Derived 5-cycle label,N
3.0,6,24.8237,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
2.0,4,37.5418,8,10.0,2,2,Y,not provided,5W-30,Derived 5-cycle label,N
4.3,6,23.1186,6,10.0,1,1,Y,not provided,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.4,4,34.9126,6,10.0,2,2,N,Small SUV 2WD,0W-20,Derived 5-cycle label,N
6.4,8,21.6811,6,10.0,1,1,N,Midsize Cars,0W40,   ,N
,6,28.4505,7,15.0,2,2,Y,Small SUV 4WD,SAE 0W-20,Derived 5-cycle label,
5.3,8,25.3434,8,10.0,1,1,Y,not provided,0W20,Derived 5-cycle label,N
2.5,4,44.254,8,15.0,2,2,Y,not provided,0W-16,   ,N
3.0,6,31.2813,8,15.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
2.0,4,34.2342,5,10.0,2,2,N,Small SUV 2WD,0W20,Derived 5-cycle label,N
2.0,4,36.9039,7,10.0,2,2,Y,Subcompact Cars,5W30,Derived 5-cycle label,Y
3.6,6,25.0815,8,10.0,2,2,Y,not provided,5W30,Derived 5-cycle label,N
,8,20.7274,8,10.0,2,2,Y,Standard SUV 4WD,5W30,Derived 5-cycle label,N
1.6,4,40.9726,5,15.0,2,2,N,Subcompact Cars,##-##,Derived 5-cycle label,N
3.5,6,25.406999999999996,6,15.0,2,2,Y,not provided,5W-20 API SN Plus,Derived 5-cycle label,N
1.5,4,41.3735,1,10.0,2,2,Y,Small SUV 2WD,0W-20,Derived 5-cycle label,N
3.5,6,40.8161,10,15.0,2,2,N,Subcompact Cars,0W-20,Vehicle Specific 5-cycle label,N
,4,32.6807,8,10.0,2,2,Y,Small SUV 4WD,0W20,Derived 5-cycle label,N
3.6,6,29.8923,8,10.0,2,2,Y,not provided,5W20,Derived 5-cycle label,N
,4,32.5204,9,15.0,2,2,Y,Small SUV 4WD,5W20 GF4,Derived 5-cycle label,N
2.5,4,33.2595,6,10.0,2,2,Y,Small SUV 2WD,GF-5 5W-30,Derived 5-cycle label,N
5.6,8,21.8528,7,10.0,2,2,Y,Standard Pick-up Trucks 4WD,SAE 0W-20,Derived 5-cycle label,
5.5,8,23.3213,7,10.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
2.0,4,40.8178,7,15.0,2,2,Y,Compact Cars,0W-20,   ,N
1.5,3,40.5483,6,10.0,2,2,Y,Subcompact Cars,0W20,Derived 5-cycle label,N
,4,30.9416,6,15.0,2,2,Y,Small SUV 4WD,SAE 5W20,Derived 5-cycle label,N
3.0,6,24.1879,9,10.0,2,2,Y,Standard SUV 4WD,5W30 DC225.10,Derived 5-cycle label,
1.0,3,40.3337,6,15.0,2,2,Y,Small SUV 2WD,SAE 5W-20 / API SN Plus,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
4.0,8,26.6585,9,10.0,2,2,Y,not provided,5W40,Derived 5-cycle label,N
4.0,8,21.8741,8,10.0,2,2,Y,Standard SUV 4WD,0W40,Derived 5-cycle label,N
,8,24.3171,8,10.0,2,2,Y,Standard SUV 4WD,5W30,Derived 5-cycle label,N
2.4,4,36.9124,6,15.0,2,2,Y,not provided,SAE 5W20,Derived 5-cycle label,N
2.5,4,32.8204,6,10.0,2,2,Y,Small SUV 2WD,5W30,Derived 5-cycle label,N
3.5,6,17.2424,7,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
2.5,4,45.1129,1,15.0,2,2,Y,not provided,SAE 0W-20,   ,
4.0,8,26.3362,9,10.0,2,2,Y,Compact Cars,5W40,   ,N
,8,23.9237,9,10.0,2,2,Y,Small SUV 4WD,5W40,Derived 5-cycle label,N
3.0,6,29.9843,7,15.0,2,2,Y,Subcompact Cars,SAE 0W-20,Derived 5-cycle label,
3.0,6,27.9589,8,15.0,2,2,Y,not provided,5W20 GF4,Derived 5-cycle label,N
5.3,8,22.4618,6,10.0,1,1,Y,Special Purpose Vehicle cab chassis,0W20,Derived 5-cycle label,N
,8,22.3094,6,85.0,1,1,Y,Standard SUV 4WD,0W20,Derived 5-cycle label,N
1.5,4,36.3719,6,15.0,2,2,Y,Midsize Cars,SAE 5W-20 API SN Plus,   ,N
2.7,4,26.2321,6,15.0,2,2,Y,not provided,0W-20,Derived 5-cycle label,N
2.0,4,62.2956,1,15.0,2,2,N,Midsize Cars,"0W-20, GF-5",   ,N
3.9,8,23.1248,7,10.0,2,2,N,Two Seaters,##-##,Derived 5-cycle label,N
4.0,8,22.4331,7,10.0,2,2,Y,Two Seaters,0W40,Vehicle Specific 5-cycle label,N
3.3,6,25.479,8,15.0,2,2,Y,Midsize Cars,5W30 ACEA A5,   ,N
4.7,8,19.9912,6,10.0,2,2,Y,Subcompact Cars,SAE 5W/40 API SL/CF,Derived 5-cycle label,N
1.5,3,36.5963,6,10.0,2,2,Y,not provided,0W20,   ,N
2.0,4,31.4231,8,10.0,2,2,Y,not provided,5W-30,Derived 5-cycle label,N
,8,20.8243,7,10.0,2,2,Y,Standard SUV 2WD,SAE 0W-20,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,
3.0,6,29.7799,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
1.5,4,42.8035,7,10.0,2,2,Y,not provided,0W-20,Derived 5-cycle label,N
1.5,4,49.4185,6,10.0,2,2,Y,Compact Cars,GF-5 0W-20,   ,N
2.0,4,37.9376,6,10.0,2,2,Y,Subcompact Cars,0W20,Derived 5-cycle label,N
,6,24.4714,6,10.0,2,2,Y,Small SUV 4WD,5W-20,Derived 5-cycle label,N
5.7,8,22.1826,8,10.0,1,1,Y,Standard Pick-up Trucks 2WD,SAE 5W-20,Derived 5-cycle label,N
3.8,6,27.0436,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
2.0,4,29.2864,6,15.0,2,2,N,Compact Cars,5W40,   ,N
3.0,6,28.526999999999997,7,15.0,2,2,Y,Subcompact Cars,SAE 0W-20,Derived 5-cycle label,
3.0,6,30.8134,8,15.0,2,2,Y,Midsize Cars,5W20 GF4,   ,N
3.8,8,22.6074,7,10.0,2,2,Y,Two Seaters,0W40,Derived 5-cycle label,N
3.5,6,34.6035,10,15.0,2,2,N,not provided,0W-20,   ,N
2.0,4,33.5802,8,10.0,2,2,Y,Compact Cars,5W30,Derived 5-cycle label,N
3.0,6,32.7013,7,15.0,2,2,N,Midsize Cars,0W-20 VW50800,   ,N
1.5,4,36.6744,8,10.0,2,2,Y,Small SUV 2WD,0W20,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
,6,24.1059,6,15.0,2,2,Y,Standard SUV 4WD,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
2.0,4,47.913999999999994,7,10.0,2,2,Y,Small SUV 2WD,SAE 0W-20,Derived 5-cycle label,
3.0,6,31.7079,8,15.0,2,2,Y,Compact Cars,5W20 GF4,   ,N
2.0,4,31.7452,8,15.0,2,2,Y,Midsize Cars,0W-20,   ,N
4.0,6,23.8791,5,15.0,2,2,Y,Standard SUV 4WD,0W-20,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.0,4,33.6749,6,10.0,2,2,N,not provided,0W20,   ,N
2.0,4,29.6476,8,15.0,2,2,Y,Small SUV 2WD,5W40 VW50200,Derived 5-cycle label,Y
6.2,8,25.1254,10,10.0,1,1,Y,Subcompact Cars,##-##,Vehicle Specific 5-cycle label,N
5.3,8,22.1009,6,85.0,1,1,Y,not provided,0W20,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
,4,55.7716,6,15.0,2,2,N,Small SUV 4WD,0W-16,Vehicle Specific 5-cycle label,N
2.4,4,33.8197,6,15.0,2,2,Y,Small SUV 2WD,SAE 5W20,Derived 5-cycle label,N
1.5,4,42.6585,6,10.0,2,2,N,not provided,0W-20,Vehicle Specific 5-cycle label,N
3.0,6,25.6229,8,15.0,2,2,Y,not provided,5W20 GF4,Derived 5-cycle label,N
2.0,4,35.6804,8,85.0,2,2,Y,Special Purpose Vehicle 2WD,5W20 APN SN Plus,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.3,4,32.7122,6,15.0,2,2,N,Subcompact Cars,5W30 API SN Plus,Derived 5-cycle label,N
5.3,8,21.055,6,85.0,1,1,Y,Standard SUV 4WD,0W20,Derived 5-cycle label,N
2.0,4,34.3259,9,10.0,2,2,Y,Midsize Cars,5W30,   ,N
5.0,8,19.3331,8,15.0,2,2,Y,Standard SUV 4WD,0W20,Derived 5-cycle label,N
3.0,6,27.9721,6,10.0,2,2,N,Compact Cars,0W20,Derived 5-cycle label,N
3.0,6,31.7473,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
3.5,6,28.8794,8,15.0,2,2,Y,Small SUV 2WD,0W-20,Derived 5-cycle label,N
3.3,6,28.3087,6,85.0,2,2,Y,not provided,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
1.6,4,41.522,7,15.0,2,2,N,not provided,5W20 API SM or ILSAC GF-4,Vehicle Specific 5-cycle label,N
2.0,4,35.7267,8,10.0,2,2,Y,Small SUV 2WD,5W-30,Derived 5-cycle label,N
3.0,6,24.4859,7,10.0,2,2,N,Compact Cars,5W30,Derived 5-cycle label,N
3.0,6,29.8689,8,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
2.0,4,32.9522,9,10.0,2,2,Y,Subcompact Cars,5W30,Derived 5-cycle label,N
5.7,8,22.3681,8,10.0,1,1,Y,Standard Pick-up Trucks 2WD,SAE 5W-20,Derived 5-cycle label,N
3.0,6,28.5088,9,10.0,2,2,Y,Subcompact Cars,5W30,Derived 5-cycle label,N
2.0,4,36.5286,7,15.0,2,2,Y,Compact Cars,0W-20 VW50800,   ,N
4.3,6,22.0996,6,10.0,1,1,Y,Standard Pick-up Trucks 4WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.0,4,35.071999999999996,6,10.0,2,2,N,Subcompact Cars,0W20,Derived 5-cycle label,N
3.6,6,26.2857,8,10.0,2,2,Y,not provided,5W30,Derived 5-cycle label,N
3.0,6,29.3442,8,10.0,2,2,N,not provided,0W40,Derived 5-cycle label,N
5.3,8,22.2001,6,10.0,1,1,Y,Standard Pick-up Trucks 4WD,0W20,Derived 5-cycle label,N
,4,34.876,8,10.0,2,2,Y,Small SUV 4WD,0W20,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.0,4,31.9834,8,15.0,2,2,Y,Midsize Cars,0W30 ACEA C2,   ,N
2.0,4,35.9038,7,15.0,2,2,Y,Subcompact Cars,##-##,Vehicle Specific 5-cycle label,N
2.5,4,28.9693,6,10.0,2,2,N,not provided,5W30,Derived 5-cycle label,N
2.5,4,38.5794,1,10.0,2,2,Y,Small SUV 2WD,SAE 0W-20,Derived 5-cycle label,
1.4,4,43.8685,6,10.0,2,2,Y,Compact Cars,0W20,Derived 5-cycle label,N
,6,27.8119,9,10.0,2,2,Y,Small SUV 4WD,5W20,Derived 5-cycle label,N
3.0,6,24.6108,8,15.0,2,2,Y,Standard SUV 4WD,5W20 GF4,Derived 5-cycle label,N
1.6,4,35.7385,6,15.0,2,2,N,not provided,5W30,Derived 5-cycle label,N
,4,29.6167,9,15.0,2,2,Y,Small SUV 4WD,5W20 GF4,Derived 5-cycle label,N
,6,27.6395,6,10.0,2,2,Y,Small SUV 4WD,0W-20,Derived 5-cycle label,N
3.5,6,27.1626,10,15.0,2,2,Y,not provided,SAE 5W-30 API SN Plus,Derived 5-cycle label,N
,4,33.2484,6,10.0,2,2,N,Small SUV 4WD,0W-20,Derived 5-cycle label,N
1.6,4,37.4885,6,15.0,2,2,N,Compact Cars,5W20 API SN Plus,Derived 5-cycle label,N
3.5,6,27.0274,6,15.0,2,2,Y,not provided,0W-20,Derived 5-cycle label,N
1.5,4,66.5246,1,15.0,2,2,N,Compact Cars,0W-20,   ,N
2.0,4,31.6813,6,10.0,2,2,N,not provided,0W-20,Vehicle Specific 5-cycle label,N
3.0,6,30.1564,8,10.0,2,2,N,not provided,0W40,Derived 5-cycle label,N
,4,28.646,6,15.0,2,2,Y,Small SUV 4WD,SAE 5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.0,4,29.6596,8,15.0,2,2,Y,not provided,5W40,Derived 5-cycle label,N
2.5,4,28.9693,6,10.0,2,2,N,not provided,5W30,Derived 5-cycle label,N
2.0,4,46.955,8,,2,2,Y,Compact Cars,5W30,   ,N
5.0,8,24.9238,10,85.0,2,2,Y,not provided,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
3.5,6,30.7699,8,15.0,2,2,Y,Small SUV 2WD,0W-20,Derived 5-cycle label,N
3.0,6,25.7717,6,10.0,2,2,N,Subcompact Cars,##-##,Derived 5-cycle label,N
2.4,4,33.8041,6,10.0,2,2,Y,Small SUV 2WD,0w-20,Derived 5-cycle label,N
3.0,6,28.6919,8,,2,2,Y,Standard Pick-up Trucks 4WD,5W-40,Derived 5-cycle label,N
6.2,8,20.0858,8,10.0,1,1,Y,not provided,0W-40,Vehicle Specific 5-cycle label,N
1.8,4,32.6846,6,15.0,2,2,Y,not provided,5W40 VW 50200,Vehicle Specific 5-cycle label,N
2.0,4,37.1261,7,10.0,2,2,Y,Compact Cars,SAE 0W-30,   ,
2.4,4,38.5979,6,15.0,2,2,Y,not provided,SAE 5W20,Vehicle Specific 5-cycle label,N
,4,30.6754,6,15.0,2,2,Y,Small SUV 4WD,SAE 5W20,Derived 5-cycle label,N
4.3,6,23.0999,6,10.0,1,1,Y,Standard Pick-up Trucks 2WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.5,4,31.5404,7,10.0,2,2,N,Two Seaters,##-##,Derived 5-cycle label,N
,4,31.4204,6,15.0,2,2,Y,Small SUV 4WD,0W-20,Derived 5-cycle label,N
2.0,4,33.8171,1,10.0,2,2,Y,Special Purpose Vehicle 2WD,SAE 5W-30,Vehicle Specific 5-cycle label,
3.0,6,31.795,8,15.0,2,2,Y,Compact Cars,0W20 VW50400,Derived 5-cycle label,N
2.4,4,34.9631,6,10.0,2,2,Y,Small SUV 2WD,0W20,Derived 5-cycle label,N
6.4,8,22.9245,8,10.0,1,1,Y,not provided,0W40,Derived 5-cycle label,N
3.0,6,27.2521,8,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
4.0,8,26.1184,9,10.0,2,2,Y,Compact Cars,5W40,   ,N
,6,28.6415,1,15.0,2,2,Y,Small SUV 4WD,SAE 0W-20,Derived 5-cycle label,
2.7,4,27.3378,8,10.0,2,2,Y,Standard Pick-up Trucks 2WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
4.3,6,23.276999999999997,6,10.0,1,1,Y,Special Purpose Vehicle cab chassis,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.7,6,29.3834,10,15.0,2,2,Y,not provided,5W-30 / API SN Plus,Derived 5-cycle label,N
6.6,12,18.0113,8,10.0,2,2,Y,not provided,5W30,   ,N
1.8,4,32.4302,6,15.0,2,2,N,not provided,5W40 VW 50200,Derived 5-cycle label,N
4.0,6,24.0,6,10.0,2,2,N,not provided,SAE 5W-30,Derived 5-cycle label,
2.5,4,43.7386,8,15.0,2,2,Y,not provided,0W-16,   ,N
2.8,4,29.358,6,,2,2,Y,not provided,5W30,Derived 5-cycle label,N
5.0,8,18.6796,10,10.0,2,2,Y,Subcompact Cars,5W50 synthetic,Derived 5-cycle label,N
5.6,8,19.9698,7,10.0,2,2,Y,Standard SUV 4WD,SAE 0W-20,Derived 5-cycle label,
,4,29.6753,9,10.0,2,2,Y,Small SUV 4WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
1.4,4,44.7073,5,10.0,2,2,N,Subcompact Cars,##-##,Derived 5-cycle label,N
,6,27.5572,9,10.0,2,2,Y,Small SUV 4WD,5W30,Derived 5-cycle label,N
2.9,6,26.4483,8,15.0,2,2,Y,Subcompact Cars,##-##,Vehicle Specific 5-cycle label,N
3.0,6,29.4302,8,10.0,2,2,Y,Compact Cars,5W30,Derived 5-cycle label,N
3.8,8,22.6074,7,10.0,2,2,Y,Two Seaters,0W40,Derived 5-cycle label,N
3.0,6,23.9588,7,10.0,2,2,N,Subcompact Cars,##-##,Derived 5-cycle label,N
2.0,4,36.4074,8,10.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
