Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Lockup Torque Converter,Carline Class Desc,Oil Viscosity,Calc Approach Desc,Label Recalc?
3.6,6,25.6914,8,10.0,2,2,Y,Midsize Cars,5W30,   ,N
3.6,6,27.9923,8,85.0,2,2,Y,not provided,5W20,Derived 5-cycle label,N
,6,27.9072,9,10.0,2,2,Y,Small SUV 4WD,5W30,Derived 5-cycle label,N
1.5,4,48.516000000000005,6,10.0,2,2,Y,Compact Cars,GF-5 0W-20,   ,N
1.5,4,43.7586,4,15.0,2,2,Y,Compact Cars,5W-30,   ,N
,6,26.3704,9,10.0,2,2,Y,Standard SUV 4WD,5W30,Derived 5-cycle label,N
2.0,4,38.0124,7,15.0,2,2,Y,Subcompact Cars,##-##,Vehicle Specific 5-cycle label,N
2.0,4,30.2726,6,15.0,2,2,Y,Midsize Cars,5W-30 API SN Plus,   ,N
2.0,4,38.593,7,10.0,2,2,Y,Compact Cars,5W30 / 225.10,   ,N
2.3,4,33.7662,10,15.0,2,2,Y,Subcompact Cars,5W30 API SN Plus,Derived 5-cycle label,N
3.0,6,29.8682,9,10.0,2,2,Y,Subcompact Cars,5W30,Derived 5-cycle label,N
2.0,4,40.1193,8,10.0,2,2,Y,Compact Cars,0W20,Derived 5-cycle label,N
1.6,4,38.4338,6,15.0,2,2,N,not provided,SAE 0W-20,   ,
,4,39.2362,8,15.0,2,2,Y,Small SUV 4WD,0W-16,Derived 5-cycle label,N
2.7,4,25.7711,8,10.0,2,2,Y,Standard Pick-up Trucks 4WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.5,6,30.6895,7,15.0,2,2,Y,not provided,SAE 0W-20,Derived 5-cycle label,
3.8,8,22.6074,7,10.0,2,2,Y,Two Seaters,0W40,Derived 5-cycle label,N
,6,26.4407,6,15.0,2,2,Y,Small SUV 4WD,5W30/ACEA A5,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.6,6,28.4671,6,85.0,2,2,Y,not provided,5W30,Derived 5-cycle label,N
3.0,6,31.9221,8,10.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
,4,39.6103,7,15.0,2,2,Y,Small SUV 4WD,GF-5 0W-20,Derived 5-cycle label,N
1.8,4,73.6368,1,15.0,2,2,N,not provided,0W-16,   ,N
1.4,4,39.409,6,10.0,2,2,Y,Compact Cars,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.7,6,29.2861,10,15.0,2,2,Y,not provided,5W-30 / API SN Plus,Derived 5-cycle label,N
2.4,4,33.2001,6,15.0,2,2,Y,Small SUV 2WD,SAE 5W20,Derived 5-cycle label,N
5.3,8,22.2001,6,10.0,1,1,Y,Standard Pick-up Trucks 4WD,0W20,Derived 5-cycle label,N
,4,28.4872,6,15.0,2,2,Y,Standard SUV 2WD,5W30 / API SN Plus,Derived 5-cycle label,N
2.5,4,41.2186,8,15.0,2,2,Y,Small SUV 2WD,0W-16,Derived 5-cycle label,N
,8,23.544,8,15.0,2,2,Y,Small SUV 4WD,0W20,Derived 5-cycle label,N
5.6,8,24.5529,7,10.0,2,2,Y,Midsize Cars,SAE 5W-30,   ,N
4.0,8,21.5708,7,10.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
6.6,12,17.6079,8,10.0,2,2,Y,Compact Cars,5W30,   ,N
4.0,8,21.9039,7,10.0,2,2,Y,Two Seaters,0W40,Vehicle Specific 5-cycle label,N
3.0,6,30.4266,8,10.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
2.0,4,32.0089,6,10.0,2,2,N,not provided,0W20,   ,N
2.0,4,38.0502,6,15.0,2,2,Y,Compact Cars,0W20 VW50400,   ,N
,4,34.7833,6,15.0,2,2,Y,Small SUV 4WD,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
2.0,4,43.2092,6,15.0,2,2,Y,Midsize Cars,5W20 API or GF-4,   ,N
3.5,6,20.7003,6,15.0,2,2,Y,"Vans, Passenger Type",5W30 / API SN Plus,Derived 5-cycle label,N
3.5,6,27.1717,10,15.0,2,2,Y,not provided,SAE 5W-30 API SN Plus,Derived 5-cycle label,N
3.6,6,25.9349,6,10.0,2,2,Y,"Special Purpose Vehicle, minivan 2WD",5W-20,Derived 5-cycle label,N
5.0,8,23.3566,8,15.0,2,2,Y,not provided,5W20 GF4,Derived 5-cycle label,N
,4,29.9861,8,10.0,2,2,Y,Small SUV 4WD,5W-30,Derived 5-cycle label,N
3.2,6,30.2435,9,10.0,2,2,Y,Small SUV 2WD,5W20,Derived 5-cycle label,N
2.0,4,35.9894,6,15.0,2,2,Y,not provided,5W20 API SM,Derived 5-cycle label,N
,4,36.1387,6,10.0,2,2,Y,Small SUV 4WD,0W20,Derived 5-cycle label,N
2.0,4,37.5418,8,10.0,2,2,Y,not provided,5W-30,Derived 5-cycle label,N
5.7,8,18.6708,6,85.0,2,2,Y,Standard Pick-up Trucks 4WD,0W-20,Derived 5-cycle label,N
3.5,6,22.862,10,15.0,2,2,Y,Standard SUV 4WD,SAE 5W-30 / API SN Plus,Derived 5-cycle label,N
,6,28.1137,8,10.0,2,2,Y,Standard SUV 2WD,SAE 5W20,Derived 5-cycle label,N
3.0,6,27.723000000000003,8,15.0,2,2,Y,not provided,5W20 GF4,Derived 5-cycle label,N
4.6,8,21.3053,6,15.0,2,2,Y,Standard Pick-up Trucks 2WD,0W-20,Derived 5-cycle label,N
3.0,6,22.0201,8,10.0,2,2,Y,Standard SUV 4WD,SAE 5W/40 API SL/CF,Derived 5-cycle label,N
2.7,4,30.0963,6,15.0,2,2,Y,Small SUV 2WD,0W-20,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.0,4,38.0621,6,15.0,2,2,N,Compact Cars,5W20 API or GF-4,   ,N
4.0,6,21.4635,6,10.0,2,2,N,Two Seaters,##-##,Derived 5-cycle label,N
3.5,6,28.0147,9,10.0,2,2,Y,Small SUV 4WD,0W-20,Derived 5-cycle label,
2.5,4,32.4351,6,10.0,2,2,Y,Small SUV 2WD,GF-5 5W-30,Derived 5-cycle label,N
3.6,6,31.2644,9,10.0,2,2,Y,Midsize Cars,5W30,   ,N
4.3,6,21.1049,6,10.0,1,1,Y,Standard Pick-up Trucks 4WD,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
,6,24.4055,8,15.0,2,2,Y,Standard SUV 4WD,0W20,Derived 5-cycle label,N
1.5,3,33.9714,8,10.0,2,2,Y,not provided,0W20,   ,N
2.3,4,25.6239,10,15.0,2,2,Y,Special Purpose Vehicle 2WD,5W-30 API SN+,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.0,6,32.3839,8,,2,2,Y,Standard SUV 4WD,5W20 GF4,Derived 5-cycle label,N
2.0,4,36.2466,7,15.0,2,2,N,Midsize Cars,0W-20 VW50800,   ,N
2.0,4,38.6215,1,15.0,2,2,Y,not provided,SAE 5W-30,   ,
3.0,6,30.7875,8,10.0,2,2,Y,Compact Cars,5W30,Derived 5-cycle label,N
4.4,8,21.8693,6,10.0,2,2,N,Compact Cars,5W30,Derived 5-cycle label,N
5.7,8,21.6512,8,10.0,1,1,Y,Standard Pick-up Trucks 4WD,SAE 5W-20,Derived 5-cycle label,N
5.3,8,21.5448,6,10.0,1,1,Y,Standard Pick-up Trucks 4WD,0W20,Derived 5-cycle label,N
5.0,8,15.2618,10,10.0,2,2,Y,Standard Pick-up Trucks 4WD,5W50 synthetic,Vehicle Specific 5-cycle label,N
5.7,8,18.9795,8,15.0,2,2,Y,Standard SUV 4WD,0W-20,Derived 5-cycle label,N
1.3,4,36.1475,9,10.0,2,2,Y,Small SUV 2WD,5W-40,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.0,6,24.4859,7,10.0,2,2,N,Subcompact Cars,##-##,Derived 5-cycle label,N
1.2,3,54.441,1,10.0,2,2,Y,Compact Cars,0W20,   ,N
